policy,associativity,size,hits,compulsoryMisses,capacityMisses,conflictMisses,totalAccesses
FIFO,1,16,252,16,16,216,500
FIFO,4,256,3,97,0,0,100
FIFO,1,8,505,8,8,479,1000
FIFO,64,256,7,256,718,19,1000
FIFO,2,256,211,256,388,145,1000
FIFO,1,128,436,128,124,312,1000
FIFO,1,256,440,256,180,124,1000
FIFO,16,64,10,64,395,31,500
FIFO,16,256,15,256,226,3,500
FIFO,4,128,6,94,0,0,100
FIFO,64,256,46,256,4369,329,5000
FIFO,16,16,189,16,496,4299,5000
FIFO,2,128,231,128,312,329,1000
FIFO,64,64,4,64,887,45,1000
FIFO,128,128,0,73,27,0,100
FIFO,4,256,117,256,522,105,1000
FIFO,16,16,16,16,306,162,500
FIFO,8,64,4,64,31,1,100
FIFO,128,128,1,126,371,2,500
FIFO,256,256,0,81,19,0,100
FIFO,16,256,0,100,0,0,100
FIFO,4,4,130,4,28,838,1000
FIFO,64,128,36,128,4191,645,5000
FIFO,1,128,2437,128,128,2307,5000
FIFO,1,32,2455,32,32,2481,5000
FIFO,2,4,27,4,12,57,100
FIFO,8,32,294,32,480,4194,5000
FIFO,64,64,41,64,3706,1189,5000
FIFO,4,64,113,64,373,450,1000
FIFO,2,8,123,8,24,345,500
FIFO,16,128,0,93,7,0,100
FIFO,8,64,77,64,575,284,1000
FIFO,4,4,615,4,28,4353,5000
FIFO,2,128,1255,128,384,3233,5000
FIFO,2,16,115,16,48,321,500
FIFO,32,128,72,128,3620,1180,5000
FIFO,32,256,9,256,725,10,1000
FIFO,256,256,0,217,282,1,500
FIFO,64,256,1,251,246,2,500
FIFO,8,128,290,128,1741,2841,5000
FIFO,1,128,229,128,87,56,500
FIFO,2,64,105,64,155,176,500
FIFO,8,256,315,256,2630,1799,5000
FIFO,2,4,1272,4,12,3712,5000
FIFO,8,32,7,32,59,2,100
FIFO,8,256,53,256,633,58,1000
FIFO,128,128,23,128,4488,361,5000
FIFO,4,32,613,32,224,4131,5000
FIFO,4,128,45,128,279,48,500
FIFO,32,256,78,256,4058,608,5000
FIFO,1,8,233,8,8,251,500
FIFO,32,256,7,256,232,5,500
FIFO,32,64,79,64,2824,2033,5000
FIFO,4,256,655,256,1617,2472,5000
FIFO,2,256,1165,256,757,2822,5000
FIFO,2,256,1,99,0,0,100
FIFO,2,64,246,64,185,505,1000
FIFO,8,32,34,32,293,141,500
