policy,associativity,size,hits,compulsoryMisses,capacityMisses,conflictMisses,totalAccesses
LRU,16,16,29,16,425,530,1000
LRU,1,64,480,64,64,392,1000
LRU,16,256,2,98,0,0,100
LRU,16,64,150,64,1810,2976,5000
LRU,32,64,0,57,43,0,100
LRU,1,128,445,128,121,306,1000
LRU,128,128,0,72,28,0,100
LRU,64,64,42,64,3699,1195,5000
LRU,1,64,2413,64,64,2459,5000
LRU,16,32,134,32,985,3849,5000
LRU,4,8,15,8,39,38,100
LRU,8,8,23,8,117,352,500
LRU,4,32,123,32,219,626,1000
LRU,2,256,5,95,0,0,100
LRU,32,64,6,64,412,18,500
LRU,4,128,61,128,267,44,500
LRU,4,8,608,8,56,4328,5000
LRU,1,8,2507,8,8,2477,5000
LRU,8,128,292,128,1733,2847,5000
LRU,1,4,522,4,4,470,1000
LRU,128,128,19,128,4523,330,5000
LRU,1,128,2416,128,128,2328,5000
LRU,2,128,107,128,201,64,500
LRU,16,256,149,256,3469,1126,5000
LRU,2,64,15,64,20,1,100
LRU,16,32,17,32,362,89,500
LRU,1,4,52,4,4,40,100
LRU,4,64,612,64,448,3876,5000
LRU,2,8,22,8,23,47,100
LRU,2,8,1254,8,24,3714,5000
LRU,4,4,16,4,27,53,100
LRU,2,128,6,94,0,0,100
LRU,4,32,66,32,190,212,500
LRU,8,64,8,63,27,2,100
LRU,1,32,486,32,32,450,1000
LRU,256,256,0,85,15,0,100
LRU,4,128,589,128,888,3395,5000
LRU,32,256,75,256,4051,618,5000
LRU,64,128,4,128,843,25,1000
LRU,1,64,32,64,4,0,100
LRU,2,8,128,8,24,340,500
LRU,64,256,5,256,733,6,1000
LRU,2,64,113,64,163,160,500
LRU,2,16,24,16,34,26,100
LRU,8,128,62,128,661,149,1000
LRU,32,32,72,32,1839,3057,5000
LRU,64,128,1,82,17,0,100
LRU,32,32,11,32,403,54,500
LRU,8,32,6,32,60,2,100
LRU,32,256,12,256,712,20,1000
LRU,1,128,209,128,101,62,500
LRU,64,128,26,128,4227,619,5000
LRU,2,64,1255,64,192,3489,5000
LRU,16,128,2,97,1,0,100
LRU,8,64,64,64,557,315,1000
LRU,1,256,8,92,0,0,100
LRU,1,32,50,32,11,7,100
LRU,8,16,323,16,240,4421,5000
LRU,8,256,31,256,210,3,500
LRU,32,128,0,89,11,0,100
LRU,2,4,1202,4,12,3782,5000
LRU,8,256,0,100,0,0,100
LRU,16,16,1,16,77,6,100
LRU,256,256,8,256,4639,97,5000
LRU,4,32,608,32,224,4136,5000
LRU,2,32,266,32,96,606,1000
LRU,4,4,576,4,28,4392,5000
LRU,8,32,320,32,480,4168,5000
LRU,4,32,14,32,47,7,100
LRU,2,256,90,256,137,17,500
LRU,32,128,56,128,3624,1192,5000
LRU,8,8,324,8,120,4548,5000
LRU,4,64,9,61,28,2,100
LRU,4,256,2,98,0,0,100
LRU,4,4,138,4,28,830,1000
LRU,1,16,42,16,15,27,100
LRU,4,256,45,256,184,15,500
LRU,2,8,244,8,24,724,1000
LRU,8,64,310,64,951,3675,5000
LRU,256,256,1,248,749,2,1000
LRU,8,8,49,8,120,823,1000
LRU,16,64,1,62,37,0,100
LRU,64,64,10,64,882,44,1000
LRU,4,8,148,8,56,788,1000
LRU,1,128,18,82,0,0,100
LRU,64,64,3,64,419,14,500
LRU,2,256,1222,256,762,2760,5000
LRU,16,128,29,128,746,97,1000
LRU,16,64,22,64,374,40,500
LRU,128,128,3,128,855,14,1000
LRU,8,128,23,128,322,27,500
LRU,2,16,119,16,48,317,500
LRU,1,32,231,32,32,205,500
LRU,8,32,33,32,288,147,500
LRU,1,8,256,8,8,228,500
LRU,1,64,227,64,62,147,500
LRU,8,64,32,64,343,61,500
LRU,16,16,156,16,496,4332,5000
LRU,4,16,598,16,112,4274,5000
LRU,256,256,0,221,279,0,500
LRU,1,4,2457,4,4,2535,5000
LRU,4,8,71,8,56,365,500
LRU,16,16,24,16,303,157,500
LRU,32,256,5,256,236,3,500
LRU,8,16,30,16,203,251,500
LRU,4,128,3,97,0,0,100
LRU,2,4,123,4,12,361,500
LRU,16,128,18,128,337,17,500
LRU,4,128,126,128,506,240,1000
LRU,64,256,0,99,1,0,100
LRU,1,256,2407,256,256,2081,5000
LRU,2,32,1295,32,96,3577,5000
LRU,32,32,18,32,755,195,1000
LRU,4,4,54,4,28,414,500
LRU,2,128,257,128,308,307,1000
LRU,4,16,77,16,105,302,500
LRU,2,32,122,32,94,252,500
LRU,8,16,64,16,232,688,1000
LRU,2,32,21,32,35,12,100
LRU,128,256,17,256,4563,164,5000
LRU,2,16,1261,16,48,3675,5000
LRU,4,64,55,64,264,117,500
LRU,2,4,214,4,12,770,1000
LRU,64,64,0,54,46,0,100
LRU,64,128,1,128,365,6,500
LRU,1,256,415,256,182,147,1000
LRU,1,32,2535,32,32,2401,5000
LRU,16,32,3,32,64,1,100
LRU,32,32,1,32,67,0,100
LRU,1,16,2544,16,16,2424,5000
LRU,2,16,248,16,48,688,1000
LRU,1,8,52,8,8,32,100
LRU,128,256,0,232,265,3,500
LRU,32,64,16,64,829,91,1000
LRU,4,256,107,256,530,107,1000
LRU,8,128,4,93,3,0,100
LRU,128,128,1,127,372,0,500
LRU,1,4,237,4,4,255,500
LRU,64,256,5,254,239,2,500
LRU,32,128,18,128,803,51,1000
LRU,16,256,26,256,690,28,1000
LRU,2,256,220,256,391,133,1000
LRU,4,64,118,64,380,438,1000
LRU,32,256,0,100,0,0,100
LRU,16,256,10,256,233,1,500
LRU,1,16,480,16,16,488,1000
LRU,16,32,37,32,600,331,1000
LRU,8,32,47,32,400,521,1000
LRU,4,16,9,16,54,21,100
LRU,1,16,251,16,16,217,500
LRU,64,256,28,256,4423,293,5000
LRU,32,64,75,64,2836,2025,5000
LRU,32,128,3,128,357,12,500
LRU,8,256,42,256,634,68,1000
LRU,128,256,0,92,8,0,100
LRU,16,64,30,64,704,202,1000
LRU,2,64,240,64,187,509,1000
LRU,128,256,4,255,737,4,1000
LRU,2,4,29,4,12,55,100
LRU,16,128,156,128,2742,1974,5000
LRU,1,256,175,256,63,6,500
LRU,4,16,110,16,112,762,1000
LRU,8,16,4,16,71,9,100
LRU,4,256,595,256,1626,2523,5000
LRU,8,8,5,8,59,28,100
LRU,1,8,471,8,8,513,1000
LRU,2,128,1260,128,384,3228,5000
LRU,8,256,292,256,2629,1823,5000
